Date Opération,Code Agence,encaissements,decaissements,Besoin
2023-10-04,00001,1229309271.0,2100062607.0,-870753336.0
2023-10-05,00001,1155413466.0,2245525356.0,-1090111890.0
2023-10-06,00001,1664426569.0,2036221912.0,-371795343.0
2023-10-09,00001,2379510880.0,2675865030.0,-296354150.0
2023-10-10,00001,1379683440.0,2389722794.0,-1010039354.0
2023-10-11,00001,1417566330.0,1652252345.0,-234686015.0
2023-10-12,00001,1462212974.0,1651339936.0,-189126962.0
2023-10-13,00001,1093761570.0,1602992569.0,-509230999.0
2023-10-16,00001,2093657297.0,2210006415.0,-116349118.0
2023-10-17,00001,1256259343.0,1936223261.0,-679963918.0
2023-10-18,00001,1175370454.0,2065875579.0,-890505125.0
2023-10-19,00001,1169375175.0,2118484870.0,-949109695.0
2023-10-20,00001,1313962675.0,2628259117.0,-1314296442.0
2023-10-23,00001,2163164971.0,1722929847.0,440235124.0
2023-10-24,00001,942098125.0,1719936712.0,-777838587.0
2023-10-25,00001,1469290938.0,2238330788.0,-769039850.0
2023-10-26,00001,1435703472.0,1740436831.0,-304733359.0
2023-10-27,00001,1466876300.0,2439412736.0,-972536436.0
2023-10-30,00001,2792340521.0,3088073758.0,-295733237.0
2023-10-31,00001,1724110235.0,2471988913.0,-747878678.0
2023-11-01,00001,1446896079.0,2096115672.0,-649219593.0
2023-11-02,00001,1108172011.0,2587919430.0,-1479747419.0
2023-11-03,00001,1419636911.0,2157268056.0,-737631145.0
2023-11-06,00001,2314830496.0,2250145300.0,64685196.0
2023-11-07,00001,1892560128.0,2260233021.0,-367672893.0
2023-11-08,00001,968910856.0,2062291963.0,-1093381107.0
2023-11-09,00001,1666648291.0,2261898225.0,-595249934.0
2023-11-10,00001,1571886196.0,2327598179.0,-755711983.0
2023-11-13,00001,2272402314.0,2679138428.0,-406736114.0
2023-11-14,00001,1397723817.0,2383554103.0,-985830286.0
2023-11-15,00001,1843426957.0,2620002525.0,-776575568.0
2023-11-16,00001,1369520725.0,2897260948.0,-1527740223.0
2023-11-17,00001,1121212100.0,2522399400.0,-1401187300.0
2023-11-20,00001,1675762975.0,2659193256.0,-983430281.0
2023-11-21,00001,1240208346.0,1520974294.0,-280765948.0
2023-11-22,00001,1346927089.0,1659434245.0,-312507156.0
2023-11-23,00001,1264920019.0,1986336440.0,-721416421.0
2023-11-24,00001,2995894966.0,3328079303.0,-332184337.0
2023-11-27,00001,3290864112.0,4113686772.0,-822822660.0
2023-11-28,00001,2088124179.0,2713523610.0,-625399431.0
2023-11-29,00001,1864975774.0,2106416116.0,-241440342.0
2023-11-30,00001,1135147928.0,1521355013.0,-386207085.0
2023-12-01,00001,1570197495.0,2826833655.0,-1256636160.0
2023-12-04,00001,2411363133.0,2902548414.0,-491185281.0
2023-12-05,00001,1885049005.0,3138124094.0,-1253075089.0
2023-12-06,00001,2340422371.0,2197444075.0,142978296.0
2023-12-07,00001,1840181514.0,2358460573.0,-518279059.0
2023-12-08,00001,1532620507.0,1915363700.0,-382743193.0
2023-12-11,00001,4003837826.0,6075958915.0,-2072121089.0
2023-12-12,00001,3275372957.0,4082446574.0,-807073617.0
2023-12-13,00001,1673736778.0,2306029921.0,-632293143.0
2023-12-14,00001,1450124515.0,1844910283.0,-394785768.0
2023-12-15,00001,1323857119.0,2660333790.0,-1336476671.0
2023-12-18,00001,3096181977.0,4129907708.0,-1033725731.0
2023-12-19,00001,1768485769.0,2230990426.0,-462504657.0
2023-12-20,00001,1614090347.0,2466149583.0,-852059236.0
2023-12-21,00001,2083774300.0,2844707971.0,-760933671.0
2023-12-22,00001,2588406329.0,4454899105.0,-1866492776.0
2023-12-26,00001,3570677048.0,2883331895.0,687345153.0
2023-12-27,00001,2789820711.0,2618505920.0,171314791.0
2023-12-28,00001,1878150165.0,2646713142.0,-768562977.0
2023-12-29,00001,1967472573.0,2893949839.0,-926477266.0
2024-01-02,00001,3232500027.0,2232063221.0,1000436806.0
